rate_code,rate_name,category_type,collection_code,collection_name,department_name,section_name,subsection_name,rate_unit,resource_row_count,material_row_count,machine_row_count,labor_row_count,row_count,total_resource_cost_per_position,total_material_cost_per_position,total_cost_per_position,currency,price_region,masterformat_division,masterformat_section_title
KAME_KAME_KAKAME_KAME建筑工,15立方米，土壤组1,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",1000立方米,6,1,5,0,9,25337.46067712,,25337.46067712,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAME_KARI建筑工,15立方米，土质组2,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",1000立方米,6,1,5,0,9,30562.669250656,,30562.669250656,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAME_KATO建筑工,15立方米，土壤组3,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",1000立方米,6,1,5,0,9,37215.08020432,,37215.08020432,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAME_KAPU建筑工,15立方米，土壤组4,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",1000立方米,6,1,5,0,9,52574.76732454399,,52574.76732454399,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAME_KASA建筑工,15立方米，土壤组5,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",1000立方米,6,1,5,0,9,60968.63351152,,60968.63351152,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAME_KANE建筑工,15立方米，土壤组6,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",1000立方米,6,1,5,0,9,76329.16350534401,,76329.16350534401,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAME_KALI建筑工,10立方米，土壤组1,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",1000立方米,6,1,5,0,9,21619.027808992,,21619.027808992,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAME_KAVO建筑工,10立方米，土壤组2,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",1000立方米,6,1,5,0,9,25962.70722209599,,25962.70722209599,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAME_KADX,10立方米，土壤组3,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",1000立方米,6,1,5,0,9,32428.541713488,,32428.541713488,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAME_MEKA,10立方米，土壤组4,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",1000立方米,6,1,5,0,9,45360.21069627201,,45360.21069627201,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAME_MEME,10立方米，土壤组5,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",1000立方米,6,1,5,0,9,52936.807355072,,52936.807355072,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAME_MERI,10立方米，土壤组6,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",1000立方米,6,1,5,0,9,65967.845594384,,65967.845594384,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAME_METO,6.3-6.5立方米，土壤组1,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",1000立方米,6,1,5,0,9,17955.834292608,,17955.834292608,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAME_MEPU,6.3-6.5立方米，土壤组2,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",1000立方米,6,1,5,0,9,22077.753278304,,22077.753278304,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAME_MESA,6.3-6.5立方米，土壤组3,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",1000立方米,6,1,5,0,9,27318.501650304,,27318.501650304,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAME_MENE,6.3-6.5立方米，土壤组4,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",1000立方米,6,1,5,0,9,38846.35744646398,,38846.35744646398,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAME_MELI,6.3-6.5立方米，土壤组5,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",1000立方米,6,1,5,0,9,44505.649439328,,44505.649439328,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAME_MEVO,6.3-6.5立方米，土壤组6,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",1000立方米,6,1,5,0,9,55335.66122764801,,55335.66122764801,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAME_MEDX,5-6立方米，土壤组1,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",1000立方米,6,1,5,0,9,3523.1615388,,3523.1615388,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAME_RIKA,5-6立方米，土壤组2,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",1000立方米,6,1,5,0,9,4320.67164384,,4320.67164384,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAME_RIME,5-6立方米，土壤组3,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",1000立方米,6,1,5,0,9,5313.207050400001,,5313.207050400001,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAME_RIRI,5-6立方米，土壤组4,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",1000立方米,6,1,5,0,9,7658.891507279999,,7658.891507279999,CNY,"Shanghai, China",31 00 00,Earthwork
KAME_KAME_KAKAME_RITO,5-6立方米，土壤组5,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",1000立方米,6,1,5,0,9,8650.612994640001,,8650.612994640001,CNY,"Shanghai, China",31 00 00,Earthwork
