source_row_num,category_type,collection_code,collection_name,department_name,section_name,subsection_name,rate_code,rate_original_name,rate_final_name,rate_unit,row_type,is_scope,is_machine,is_material,resource_code,resource_name,resource_unit,resource_quantity,resource_price_per_unit_current,resource_cost,total_resource_cost_per_position,total_material_cost_per_position,total_cost_per_position,currency,price_region,is_abstract,masterformat_division,masterformat_section_title,is_labor
2,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KAME建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土壤组1,1000立方米,资源,0,0,1,ME_MEKAKA_TOVO,平均工作强度 1,手表,1.54,84.28736000000001,129.8025344,25337.46067712,,25337.46067712,CNY,"Shanghai, China",,31 00 00,Earthwork,0
3,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KAME建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土壤组1,1000立方米,资源,0,1,0,DXME-KAME-KAME_KATOSA,推土机，功率79千瓦（108马力）,台时,1.6,166.5735072,266.51761152,25337.46067712,,25337.46067712,CNY,"Shanghai, China",,31 00 00,Earthwork,0
4,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KAME建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土壤组1,1000立方米,操作员,0,1,0,PU_MEKAKA_KANEKA,人员：1人-小时/机器-小时,机器运行时间,1.6,61.46248000000001,98.33996800000001,25337.46067712,,25337.46067712,CNY,"Shanghai, China",,31 00 00,Earthwork,0
5,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KAME建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土壤组1,1000立方米,资源,0,1,0,DXME-KAME-KASA_MERIVO,单斗电动步进式挖掘机，配备“拖拉机”作业设备，铲斗容量15立方米,台时,1.6,15588.212832,24941.1405312,25337.46067712,,25337.46067712,CNY,"Shanghai, China",,31 00 00,Earthwork,0
6,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KAME建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土壤组1,1000立方米,操作员,0,1,0,PU_MEKAKA_KADXTO,人员：3人·小时/机械·小时,机器运行时间,1.6,230.1732,368.27712,25337.46067712,,25337.46067712,CNY,"Shanghai, China",,31 00 00,Earthwork,0
7,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KAME建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土壤组1,1000立方米,电力,0,1,0,DXME-KAME-KASA_MERIVO,电力：消耗量 965.25 千瓦·小时/机器小时,机器运行时间,1.6,648.4942400000001,1037.590784,25337.46067712,,25337.46067712,CNY,"Shanghai, China",,31 00 00,Earthwork,0
8,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KAME建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土壤组1,1000立方米,工作内容,0,0,0,,,,,,,25337.46067712,,25337.46067712,CNY,"Shanghai, China",,31 00 00,Earthwork,0
9,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KAME建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土壤组1,1000立方米,工作内容,0,0,0,,,,,,,25337.46067712,,25337.46067712,CNY,"Shanghai, China",,31 00 00,Earthwork,0
10,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KAME建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土壤组1,1000立方米,工作内容,0,0,0,,,,,,,25337.46067712,,25337.46067712,CNY,"Shanghai, China",,31 00 00,Earthwork,0
11,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KARI建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土质组2,1000立方米,资源,0,0,1,ME_MEKAKA_TOVO,平均工作强度 1,手表,1.85,84.28736000000001,155.931616,30562.669250656,,30562.669250656,CNY,"Shanghai, China",,31 00 00,Earthwork,0
12,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KARI建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土质组2,1000立方米,资源,0,1,0,DXME-KAME-KAME_KATOSA,推土机，功率79千瓦（108马力）,台时,1.93,166.5735072,321.486868896,30562.669250656,,30562.669250656,CNY,"Shanghai, China",,31 00 00,Earthwork,0
13,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KARI建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土质组2,1000立方米,操作员,0,1,0,PU_MEKAKA_KANEKA,人员：1人-小时/机器-小时,机器运行时间,1.93,61.46248000000001,118.6225864,30562.669250656,,30562.669250656,CNY,"Shanghai, China",,31 00 00,Earthwork,0
14,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KARI建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土质组2,1000立方米,资源,0,1,0,DXME-KAME-KASA_MERIVO,单斗电动步进式挖掘机，配备“拖拉机”作业设备，铲斗容量15立方米,台时,1.93,15588.212832,30085.25076576,30562.669250656,,30562.669250656,CNY,"Shanghai, China",,31 00 00,Earthwork,0
15,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KARI建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土质组2,1000立方米,操作员,0,1,0,PU_MEKAKA_KADXTO,人员：3人·小时/机械·小时,机器运行时间,1.93,230.1732,444.234276,30562.669250656,,30562.669250656,CNY,"Shanghai, China",,31 00 00,Earthwork,0
16,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KARI建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土质组2,1000立方米,电力,0,1,0,DXME-KAME-KASA_MERIVO,电力：消耗量 965.25 千瓦·小时/机器小时,机器运行时间,1.93,648.4942400000001,1251.5938832,30562.669250656,,30562.669250656,CNY,"Shanghai, China",,31 00 00,Earthwork,0
17,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KARI建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土质组2,1000立方米,工作内容,0,0,0,,,,,,,30562.669250656,,30562.669250656,CNY,"Shanghai, China",,31 00 00,Earthwork,0
18,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KARI建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土质组2,1000立方米,工作内容,0,0,0,,,,,,,30562.669250656,,30562.669250656,CNY,"Shanghai, China",,31 00 00,Earthwork,0
19,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KARI建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土质组2,1000立方米,工作内容,0,0,0,,,,,,,30562.669250656,,30562.669250656,CNY,"Shanghai, China",,31 00 00,Earthwork,0
20,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KATO建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土壤组3,1000立方米,资源,0,0,1,ME_MEKAKA_TOVO,平均工作强度 1,手表,2.27,84.28736000000001,191.3323072,37215.08020432,,37215.08020432,CNY,"Shanghai, China",,31 00 00,Earthwork,0
21,建筑工程,ME,土方工程,机械化土方工程（挖掘机、铲运机、推土机、平地机、水力机械化法等）,挖掘机在推土机上进行土壤开发,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为15、10、6.3-6.5、5-6立方米",KAME_KAME_KAKAME_KATO建筑工,"在水电工程施工中，使用单斗电动步进式""拖拉机""挖掘机进行土方开挖，铲斗容量为：",15立方米，土壤组3,1000立方米,资源,0,1,0,DXME-KAME-KAME_KATOSA,推土机，功率79千瓦（108马力）,台时,2.35,166.5735072,391.44774192,37215.08020432,,37215.08020432,CNY,"Shanghai, China",,31 00 00,Earthwork,0
