"project_id","trade","quote_id","vendor_name","scope_reference","quoted_amount","valid_days","bondable","includes_all_specs","exclusions","qualifications","past_performance_score","insurance_ok","notes"
"PRJ-001","Earthwork","Q-001","Earthwork-承包商-1","BOQ-001|BOQ-002|BOQ-003|BOQ-004","22373.15","45","yes","yes","无异常排除。","按图纸及现行规范施工。","4.6","yes","基准竞争报价。"
"PRJ-001","Earthwork","Q-002","Earthwork-承包商-2","BOQ-001|BOQ-002|BOQ-003|BOQ-004","23971.23","60","yes","yes","不含夜间施工增量。","提供额外现场管理支持。","4.8","yes","范围完整但价格偏高。"
"PRJ-001","Earthwork","Q-003","Earthwork-承包商-3","BOQ-001|BOQ-002|BOQ-003|BOQ-004","20775.06","15","no","no","TBD 的收边及临时支护。","需复核材料品牌与样品。","3.7","pending","低价但存在 scope gap 风险。"
"PRJ-002","Earthwork","Q-004","Earthwork-承包商-4","BOQ-005|BOQ-006|BOQ-007|BOQ-008","20667.05","45","yes","yes","无异常排除。","按图纸及现行规范施工。","4.6","yes","基准竞争报价。"
"PRJ-002","Earthwork","Q-005","Earthwork-承包商-5","BOQ-005|BOQ-006|BOQ-007|BOQ-008","22143.27","60","yes","yes","不含夜间施工增量。","提供额外现场管理支持。","4.8","yes","范围完整但价格偏高。"
"PRJ-002","Earthwork","Q-006","Earthwork-承包商-6","BOQ-005|BOQ-006|BOQ-007|BOQ-008","19190.84","15","no","no","TBD 的收边及临时支护。","需复核材料品牌与样品。","3.7","pending","低价但存在 scope gap 风险。"
"PRJ-003","Excavation","Q-007","Excavation-承包商-7","BOQ-009|BOQ-010|BOQ-011|BOQ-012","28609.62","45","yes","yes","无异常排除。","按图纸及现行规范施工。","4.6","yes","基准竞争报价。"
"PRJ-003","Excavation","Q-008","Excavation-承包商-8","BOQ-009|BOQ-010|BOQ-011|BOQ-012","30653.16","60","yes","yes","不含夜间施工增量。","提供额外现场管理支持。","4.8","yes","范围完整但价格偏高。"
"PRJ-003","Excavation","Q-009","Excavation-承包商-9","BOQ-009|BOQ-010|BOQ-011|BOQ-012","26566.08","15","no","no","TBD 的收边及临时支护。","需复核材料品牌与样品。","3.7","pending","低价但存在 scope gap 风险。"
"PRJ-004","Sitework","Q-010","Sitework-承包商-10","BOQ-013|BOQ-014|BOQ-015|BOQ-016","34950.88","45","yes","yes","无异常排除。","按图纸及现行规范施工。","4.6","yes","基准竞争报价。"
"PRJ-004","Sitework","Q-011","Sitework-承包商-11","BOQ-013|BOQ-014|BOQ-015|BOQ-016","37447.37","60","yes","yes","不含夜间施工增量。","提供额外现场管理支持。","4.8","yes","范围完整但价格偏高。"
"PRJ-004","Sitework","Q-012","Sitework-承包商-12","BOQ-013|BOQ-014|BOQ-015|BOQ-016","32454.39","15","no","no","TBD 的收边及临时支护。","需复核材料品牌与样品。","3.7","pending","低价但存在 scope gap 风险。"
"PRJ-005","Earthwork","Q-013","Earthwork-承包商-13","BOQ-017|BOQ-018|BOQ-019|BOQ-020","28039.04","45","yes","yes","无异常排除。","按图纸及现行规范施工。","4.6","yes","基准竞争报价。"
"PRJ-005","Earthwork","Q-014","Earthwork-承包商-14","BOQ-017|BOQ-018|BOQ-019|BOQ-020","30041.83","60","yes","yes","不含夜间施工增量。","提供额外现场管理支持。","4.8","yes","范围完整但价格偏高。"
"PRJ-005","Earthwork","Q-015","Earthwork-承包商-15","BOQ-017|BOQ-018|BOQ-019|BOQ-020","26036.26","15","no","no","TBD 的收边及临时支护。","需复核材料品牌与样品。","3.7","pending","低价但存在 scope gap 风险。"
"PRJ-006","Utilities Earthwork","Q-016","Utilities Earthwork-承包商-16","BOQ-021|BOQ-022|BOQ-023|BOQ-024","26158.97","45","yes","yes","无异常排除。","按图纸及现行规范施工。","4.6","yes","基准竞争报价。"
"PRJ-006","Utilities Earthwork","Q-017","Utilities Earthwork-承包商-17","BOQ-021|BOQ-022|BOQ-023|BOQ-024","28027.47","60","yes","yes","不含夜间施工增量。","提供额外现场管理支持。","4.8","yes","范围完整但价格偏高。"
"PRJ-006","Utilities Earthwork","Q-018","Utilities Earthwork-承包商-18","BOQ-021|BOQ-022|BOQ-023|BOQ-024","24290.48","15","no","no","TBD 的收边及临时支护。","需复核材料品牌与样品。","3.7","pending","低价但存在 scope gap 风险。"
